surrogate_method,surrogate_seed,target_method,target_seed,attack,class_id,class_name,n_samples,n_correct,acc
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,7777,cw_l2,2,bird,125,91,0.728
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,7777,cw_l2,3,cat,125,82,0.656
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,7777,cw_l2,4,deer,125,95,0.76
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,7777,cw_l2,5,dog,125,89,0.712
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,7777,cw_l2,6,frog,125,109,0.872
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,7777,cw_l2,7,horse,125,108,0.864
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,7777,cw_l2,8,ship,125,114,0.912
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,7777,cw_l2,9,truck,125,113,0.904
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd20_ce,0,airplane,125,85,0.68
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd20_ce,1,automobile,125,100,0.8
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd20_ce,2,bird,125,58,0.464
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd20_ce,3,cat,125,45,0.36
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd20_ce,4,deer,125,57,0.456
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd20_ce,5,dog,125,67,0.536
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd20_ce,6,frog,125,73,0.584
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd20_ce,7,horse,125,85,0.68
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd20_ce,8,ship,125,89,0.712
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd20_ce,9,truck,125,98,0.784
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,ddn_l2,0,airplane,125,106,0.848
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,ddn_l2,1,automobile,125,119,0.952
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,ddn_l2,2,bird,125,75,0.6
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,ddn_l2,3,cat,125,80,0.64
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,ddn_l2,4,deer,125,92,0.736
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,ddn_l2,5,dog,125,92,0.736
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,ddn_l2,6,frog,125,106,0.848
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,ddn_l2,7,horse,125,106,0.848
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,ddn_l2,8,ship,125,114,0.912
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,ddn_l2,9,truck,125,108,0.864
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,fgsm_rs,0,airplane,125,105,0.84
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,fgsm_rs,1,automobile,125,108,0.864
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,fgsm_rs,2,bird,125,87,0.696
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,fgsm_rs,3,cat,125,56,0.448
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,fgsm_rs,4,deer,125,82,0.656
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,fgsm_rs,5,dog,125,74,0.592
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,fgsm_rs,6,frog,125,105,0.84
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,fgsm_rs,7,horse,125,104,0.832
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,fgsm_rs,8,ship,125,110,0.88
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,fgsm_rs,9,truck,125,106,0.848
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,tpgd,0,airplane,125,93,0.744
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,tpgd,1,automobile,125,103,0.824
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,tpgd,2,bird,125,84,0.672
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,tpgd,3,cat,125,78,0.624
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,tpgd,4,deer,125,86,0.688
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,tpgd,5,dog,125,76,0.608
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,tpgd,6,frog,125,102,0.816
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,tpgd,7,horse,125,114,0.912
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,tpgd,8,ship,125,109,0.872
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,tpgd,9,truck,125,106,0.848
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,mifgsm,0,airplane,125,93,0.744
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,mifgsm,1,automobile,125,96,0.768
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,mifgsm,2,bird,125,58,0.464
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,mifgsm,3,cat,125,38,0.304
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,mifgsm,4,deer,125,48,0.384
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,mifgsm,5,dog,125,56,0.448
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,mifgsm,6,frog,125,82,0.656
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,mifgsm,7,horse,125,88,0.704
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,mifgsm,8,ship,125,81,0.648
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,mifgsm,9,truck,125,79,0.632
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd_l2,0,airplane,125,110,0.88
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd_l2,1,automobile,125,114,0.912
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd_l2,2,bird,125,78,0.624
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd_l2,3,cat,125,59,0.472
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd_l2,4,deer,125,77,0.616
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd_l2,5,dog,125,92,0.736
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd_l2,6,frog,125,101,0.808
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd_l2,7,horse,125,103,0.824
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd_l2,8,ship,125,117,0.936
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,pgd_l2,9,truck,125,111,0.888
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,deepfool_l2,0,airplane,125,100,0.8
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,deepfool_l2,1,automobile,125,117,0.936
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,deepfool_l2,2,bird,125,89,0.712
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,deepfool_l2,3,cat,125,85,0.68
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,deepfool_l2,4,deer,125,96,0.768
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,deepfool_l2,5,dog,125,95,0.76
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,deepfool_l2,6,frog,125,106,0.848
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,deepfool_l2,7,horse,125,114,0.912
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,deepfool_l2,8,ship,125,118,0.944
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,deepfool_l2,9,truck,125,112,0.896
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,cw_l2,0,airplane,125,108,0.864
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,cw_l2,1,automobile,125,117,0.936
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,cw_l2,2,bird,125,91,0.728
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,cw_l2,3,cat,125,88,0.704
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,cw_l2,4,deer,125,94,0.752
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,cw_l2,5,dog,125,97,0.776
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,cw_l2,6,frog,125,106,0.848
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,cw_l2,7,horse,125,110,0.88
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,cw_l2,8,ship,125,114,0.912
single_at_pgd_linf,73,multi_attack_pgd_linf_ddn_l2_mb,12345,cw_l2,9,truck,125,119,0.952
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd20_ce,0,airplane,125,84,0.672
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd20_ce,1,automobile,125,101,0.808
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd20_ce,2,bird,125,58,0.464
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd20_ce,3,cat,125,38,0.304
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd20_ce,4,deer,125,57,0.456
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd20_ce,5,dog,125,63,0.504
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd20_ce,6,frog,125,75,0.6
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd20_ce,7,horse,125,89,0.712
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd20_ce,8,ship,125,91,0.728
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd20_ce,9,truck,125,97,0.776
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,ddn_l2,0,airplane,125,103,0.824
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,ddn_l2,1,automobile,125,115,0.92
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,ddn_l2,2,bird,125,77,0.616
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,ddn_l2,3,cat,125,68,0.544
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,ddn_l2,4,deer,125,92,0.736
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,ddn_l2,5,dog,125,89,0.712
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,ddn_l2,6,frog,125,105,0.84
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,ddn_l2,7,horse,125,110,0.88
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,ddn_l2,8,ship,125,113,0.904
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,ddn_l2,9,truck,125,110,0.88
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,fgsm_rs,0,airplane,125,106,0.848
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,fgsm_rs,1,automobile,125,112,0.896
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,fgsm_rs,2,bird,125,82,0.656
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,fgsm_rs,3,cat,125,51,0.408
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,fgsm_rs,4,deer,125,86,0.688
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,fgsm_rs,5,dog,125,73,0.584
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,fgsm_rs,6,frog,125,102,0.816
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,fgsm_rs,7,horse,125,104,0.832
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,fgsm_rs,8,ship,125,113,0.904
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,fgsm_rs,9,truck,125,105,0.84
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,tpgd,0,airplane,125,93,0.744
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,tpgd,1,automobile,125,106,0.848
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,tpgd,2,bird,125,78,0.624
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,tpgd,3,cat,125,72,0.576
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,tpgd,4,deer,125,84,0.672
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,tpgd,5,dog,125,73,0.584
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,tpgd,6,frog,125,101,0.808
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,tpgd,7,horse,125,115,0.92
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,tpgd,8,ship,125,114,0.912
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,tpgd,9,truck,125,109,0.872
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,mifgsm,0,airplane,125,87,0.696
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,mifgsm,1,automobile,125,97,0.776
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,mifgsm,2,bird,125,53,0.424
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,mifgsm,3,cat,125,39,0.312
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,mifgsm,4,deer,125,48,0.384
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,mifgsm,5,dog,125,56,0.448
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,mifgsm,6,frog,125,83,0.664
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,mifgsm,7,horse,125,91,0.728
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,mifgsm,8,ship,125,81,0.648
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,mifgsm,9,truck,125,79,0.632
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd_l2,0,airplane,125,107,0.856
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd_l2,1,automobile,125,111,0.888
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd_l2,2,bird,125,74,0.592
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd_l2,3,cat,125,57,0.456
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd_l2,4,deer,125,83,0.664
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd_l2,5,dog,125,91,0.728
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd_l2,6,frog,125,101,0.808
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd_l2,7,horse,125,108,0.864
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd_l2,8,ship,125,119,0.952
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,pgd_l2,9,truck,125,113,0.904
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,deepfool_l2,0,airplane,125,105,0.84
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,deepfool_l2,1,automobile,125,119,0.952
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,deepfool_l2,2,bird,125,85,0.68
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,deepfool_l2,3,cat,125,83,0.664
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,deepfool_l2,4,deer,125,104,0.832
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,deepfool_l2,5,dog,125,91,0.728
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,deepfool_l2,6,frog,125,111,0.888
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,deepfool_l2,7,horse,125,115,0.92
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,deepfool_l2,8,ship,125,115,0.92
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,deepfool_l2,9,truck,125,109,0.872
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,cw_l2,0,airplane,125,108,0.864
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,cw_l2,1,automobile,125,112,0.896
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,cw_l2,2,bird,125,88,0.704
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,cw_l2,3,cat,125,82,0.656
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,cw_l2,4,deer,125,96,0.768
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,cw_l2,5,dog,125,94,0.752
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,cw_l2,6,frog,125,109,0.872
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,cw_l2,7,horse,125,106,0.848
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,cw_l2,8,ship,125,112,0.896
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,73,cw_l2,9,truck,125,120,0.96
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd20_ce,0,airplane,125,85,0.68
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd20_ce,1,automobile,125,101,0.808
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd20_ce,2,bird,125,56,0.448
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd20_ce,3,cat,125,36,0.288
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd20_ce,4,deer,125,57,0.456
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd20_ce,5,dog,125,69,0.552
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd20_ce,6,frog,125,73,0.584
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd20_ce,7,horse,125,84,0.672
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd20_ce,8,ship,125,91,0.728
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd20_ce,9,truck,125,95,0.76
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,ddn_l2,0,airplane,125,106,0.848
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,ddn_l2,1,automobile,125,116,0.928
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,ddn_l2,2,bird,125,86,0.688
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,ddn_l2,3,cat,125,70,0.56
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,ddn_l2,4,deer,125,94,0.752
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,ddn_l2,5,dog,125,87,0.696
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,ddn_l2,6,frog,125,111,0.888
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,ddn_l2,7,horse,125,106,0.848
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,ddn_l2,8,ship,125,111,0.888
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,ddn_l2,9,truck,125,110,0.88
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,fgsm_rs,0,airplane,125,105,0.84
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,fgsm_rs,1,automobile,125,111,0.888
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,fgsm_rs,2,bird,125,86,0.688
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,fgsm_rs,3,cat,125,52,0.416
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,fgsm_rs,4,deer,125,86,0.688
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,fgsm_rs,5,dog,125,76,0.608
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,fgsm_rs,6,frog,125,101,0.808
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,fgsm_rs,7,horse,125,101,0.808
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,fgsm_rs,8,ship,125,111,0.888
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,fgsm_rs,9,truck,125,105,0.84
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,tpgd,0,airplane,125,89,0.712
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,tpgd,1,automobile,125,105,0.84
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,tpgd,2,bird,125,84,0.672
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,tpgd,3,cat,125,66,0.528
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,tpgd,4,deer,125,85,0.68
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,tpgd,5,dog,125,80,0.64
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,tpgd,6,frog,125,99,0.792
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,tpgd,7,horse,125,110,0.88
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,tpgd,8,ship,125,115,0.92
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,tpgd,9,truck,125,106,0.848
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,mifgsm,0,airplane,125,88,0.704
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,mifgsm,1,automobile,125,95,0.76
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,mifgsm,2,bird,125,56,0.448
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,mifgsm,3,cat,125,42,0.336
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,mifgsm,4,deer,125,47,0.376
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,mifgsm,5,dog,125,61,0.488
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,mifgsm,6,frog,125,81,0.648
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,mifgsm,7,horse,125,90,0.72
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,mifgsm,8,ship,125,88,0.704
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,mifgsm,9,truck,125,85,0.68
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd_l2,0,airplane,125,107,0.856
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd_l2,1,automobile,125,113,0.904
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd_l2,2,bird,125,78,0.624
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd_l2,3,cat,125,56,0.448
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd_l2,4,deer,125,75,0.6
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd_l2,5,dog,125,83,0.664
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd_l2,6,frog,125,103,0.824
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd_l2,7,horse,125,106,0.848
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd_l2,8,ship,125,118,0.944
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,pgd_l2,9,truck,125,110,0.88
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,deepfool_l2,0,airplane,125,102,0.816
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,deepfool_l2,1,automobile,125,120,0.96
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,deepfool_l2,2,bird,125,85,0.68
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,deepfool_l2,3,cat,125,80,0.64
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,deepfool_l2,4,deer,125,99,0.792
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,deepfool_l2,5,dog,125,93,0.744
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,deepfool_l2,6,frog,125,110,0.88
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,deepfool_l2,7,horse,125,113,0.904
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,deepfool_l2,8,ship,125,117,0.936
single_at_pgd_linf,73,attackdro_pp_anchor035_gradfp_online_k4,202,deepfool_l2,9,truck,125,112,0.896
